# ============================================================================
#  CATALOGO DE PERFILES DE ACERO DE CADLINK
# ============================================================================
#
#  Generado del manual IMCA con tools/catalogo_imca.py
#  1617 perfiles de 12 familias.
#  TODAS LAS MEDIDAS EN CENTIMETROS.
#
#  Este archivo llena los desplegables de la pestaña «Secciones Acero»: al
#  elegir la familia, la celda «Perfil» ofrece los perfiles de esa familia, y
#  al elegir uno se traen sus medidas solas.
#
#  Se puede editar con el Bloc de notas o con Excel, y no hay que recompilar
#  nada: se guarda, se vuelve a abrir CadLink y los cambios ya estan.
#
#  familia;nombre;peralte;ancho;e_alma;e_patin;labio;radio;ancho2
#
#     peralte   en OC y OS es el DIAMETRO EXTERIOR; en la L, el ala larga
#     ancho     patin en I/te/canales, cara en OR, ala corta en la L
#     e_alma    alma en I/te/canal; PARED en OR y OC; lamina en CF y ZF
#     e_patin   solo las formas laminadas: I, te y canal
#     labio     solo el CF
#     radio     doblez exterior: el CF y la ZF
#     ancho2    solo la ZF: su patin ANGOSTO, el que permite el traslape
#
#  El redondo macizo (OS) solo usa el peralte: no tiene pared ni ancho.
#
#
# --------------------------------------------------------------------------
#  IR: 273 perfiles, forma I   (del IMCA: W)
# --------------------------------------------------------------------------
IR;W - 12'' x 79.02 lb/ft;31.5;30.8;1.2;1.87;;;
IR;W - 12'' x 87.02 lb/ft;31.8;30.8;1.31;2.06;;;
IR;W - 12'' x 96.02 lb/ft;32.3;31;1.4;2.29;;;
IR;W - 12'' x 106.04 lb/ft;32.8;31;1.55;2.52;;;
IR;W - 12'' x 120.08 lb/ft;33.3;31.3;1.81;2.82;;;
IR;W - 12'' x 136.07 lb/ft;34.1;31.5;2.01;3.18;;;
IR;W - 12'' x 152.07 lb/ft;34.8;31.8;2.21;3.56;;;
IR;W - 12'' x 170.08 lb/ft;35.6;32.1;2.44;3.97;;;
IR;W - 12'' x 190.1 lb/ft;36.6;32.3;2.7;4.42;;;
IR;W - 12'' x 210.06 lb/ft;37.4;32.6;3;4.83;;;
IR;W - 12'' x 230.08 lb/ft;38.4;32.8;3.28;5.26;;;
IR;W - 12'' x 252.12 lb/ft;39.2;33.1;3.56;5.72;;;
IR;W - 12'' x 279.07 lb/ft;40.4;33.3;3.89;6.28;;;
IR;W - 12'' x 305.07 lb/ft;41.5;33.6;4.15;6.89;;;
IR;W - 12'' x 336.12 lb/ft;42.7;34.1;4.53;7.52;;;
IR;W - 14'' x 22.04 lb/ft;34.8;12.7;0.59;0.86;;;
IR;W - 14'' x 26.07 lb/ft;35.4;12.8;0.65;1.07;;;
IR;W - 14'' x 30.04 lb/ft;35.1;17.1;0.69;0.98;;;
IR;W - 14'' x 34.07 lb/ft;35.6;17.2;0.73;1.16;;;
IR;W - 14'' x 38.03 lb/ft;35.9;17.2;0.79;1.31;;;
IR;W - 14'' x 43.07 lb/ft;34.8;20.4;0.78;1.35;;;
IR;W - 14'' x 48.05 lb/ft;35.1;20.4;0.87;1.52;;;
IR;W - 14'' x 53.02 lb/ft;35.4;20.5;0.94;1.68;;;
