# ==========================================================================
#  CATALOGO DE ACEROS ESTRUCTURALES DE CADLINK
# ==========================================================================
#
#  Generado de docs/ACEROS.xlsx con tools/catalogo_aceros.py
#  39 aceros.
#
#  Llena el desplegable «Acero» de la pestaña «Secciones Acero», y de aqui
#  salen el Fy y el Fu que se ven en la tabla y la marca de si ese acero se
#  consigue en el perfil que se eligio.
#
#  Se puede editar con el Bloc de notas o con Excel, y no hay que recompilar
#  nada: se guarda, se vuelve a abrir CadLink y los cambios ya estan.
#
#  Las columnas:
#
#  grupo;astm;nmx;fy_kgcm2;fy_mpa;fu_kgcm2;fu_mpa;IR;IS;IC;S;WT;C;CF;ZF;L;OR;OC;OS;PLACA
#
#     grupo      CARBON, ALTA RESISTENCIA..., RESISTENTE A CORROSION o
#                TEMPLADO REVENIDO
#     astm       la designacion, que es lo que se ve en el desplegable
#     nmx        la norma mexicana equivalente, '-' si no tiene
#     fy, fu     esfuerzo de fluencia y de ruptura. LAS DOS UNIDADES, y la de
#                kg/cm2 es la que se muestra
#
#  Y una columna por familia de perfil, con tres respuestas:
#
#     SI         se consigue en esa seccion
#     VERIFICAR  puede conseguirse; confirmalo con tu proveedor
#     NO         no se hace en esa seccion. La fila sale marcada en la tabla
#
#  PLACA va al final y NO es una familia de perfil: CadLink no dibuja placas.
#  Se guarda porque es lo que dice la hoja y hara falta para las conexiones.
#
#  AVISOS de la hoja de origen, que NO se corrigieron aqui:
#
#     - A-572-Gr. 65: Fu en kg/cm2 y en MPa no cuadran (5265 contra 550 MPa = 5608)
#
# ==========================================================================

ALTA RESISTENCIA Y BAJA ALEACIÓN;A-913-Gr. 70;-;4920;485;6330;620;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;NO;NO;VERIFICAR;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-992;-;3515;345;4570;450;SI;SI;SI;VERIFICAR;VERIFICAR;VERIFICAR;NO;NO;VERIFICAR;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-1008-Gr. 50;-;3515;345;4220;415;NO;NO;NO;NO;NO;NO;SI;SI;NO;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-1008-Gr. 60;-;4220;415;4920;485;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-1011-Gr. 60;B-248-Gr. 60;4220;415;4920;485;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-1011-Gr. 70;B-248-Gr. 70;4920;485;5625;550;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-1018-Gr. 70;B-248-Gr. 70;4920;485;5625;550;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-1018-Gr. 80;B-248-Gr. 80;5625;550;6330;620;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-618-Gr. I;-;3515;345;4920;485;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO
ALTA RESISTENCIA Y BAJA ALEACIÓN;A-618-Gr. II;-;3515;345;4920;485;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO
RESISTENTE A CORROSIÓN;A-618-Gr. III;-;3515;345;4570;450;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO
RESISTENTE A CORROSIÓN;A-242;B-282;2955;290;4430;435;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR
RESISTENTE A CORROSIÓN;A-242';B-282';3235;315;4710;460;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR
RESISTENTE A CORROSIÓN;A-242'';B-282'';3515;345;4920;485;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;NO;NO;VERIFICAR;NO;NO;NO;VERIFICAR
RESISTENTE A CORROSIÓN;A-588;-;3515;345;4920;485;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;VERIFICAR;NO;NO;VERIFICAR;NO;NO;NO;VERIFICAR
RESISTENTE A CORROSIÓN;A-606;B-278;3515;345;4920;485;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO;NO;NO;NO
RESISTENTE A CORROSIÓN;A-847;-;3515;345;4920;485;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR;VERIFICAR;NO;NO
TEMPLADO REVENIDO;A-514;-;6330;620;7030;690;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR
TEMPLADO REVENIDO;A-514';-;7030;690;7735;760;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR
TEMPLADO REVENIDO;A-678;-;3515;345;4920;485;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR
TEMPLADO REVENIDO;A-852;-;4920;485;6330;620;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;VERIFICAR
